"Timestamp","Event","Content","Touchpoint","Location","PunctuationInSentece","NumberOfWords","NumberOfCharacters","SelectedButtonIndex","FullSentece","TimeSpan","IdentificationTags","LocationTags"
"2020/01/02 13:23:04.951","word-prediction[3]-updated","he","","520,345","","0","0","0","","","",""
"2020/01/02 13:23:04.962","word-prediction[4]-updated","it","","650,130","","0","0","0","","","",""
"2020/01/02 13:23:06.405","Letter-button-selected","i","706.5,292","650,260","","0","0","0","","","",""
"2020/01/02 13:23:06.421","output-updated","or exactly what i","","","","0","0","0","","","",""
"2020/01/02 13:23:06.507","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:06.532","sentence-prediction[1]-updated","i don't have to remember what is stored or where it is stored","","650,195","N","13","0","0","and it is like magic because i don't have to remember what is stored or where it is stored","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:06.544","sentence-prediction[2]-updated","i can demonstrate how i can get either words or sentences that i have used before","","650,130","N","16","0","0","but i can demonstrate how i can get either words or sentences that i have used before","","","location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
"2020/01/02 13:23:06.556","sentence-prediction[3]-updated","is in the fact that users do not have to remember what is stored or where it is stored","","160,410","N","19","0","0","the nobel prize is in the fact that users do not have to remember what is stored or where it is stored","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:06.556","sentence-prediction[4]-updated","instead of predicting single words it also predicts sentences or part of the sentence if it fits","","560,623","N","17","0","0","so instead of predicting single words it also predicts sentences or part of the sentence if it fits","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:06.579","word-prediction[1]-updated","it","","380,195","","0","0","0","","","",""
"2020/01/02 13:23:06.593","word-prediction[2]-updated","i'm","","650,558","","0","0","0","","","",""
"2020/01/02 13:23:06.604","word-prediction[3]-updated","if","","340,345","","0","0","0","","","",""
"2020/01/02 13:23:06.617","word-prediction[4]-updated","i've","","380,623","","0","0","0","","","",""
"2020/01/02 13:23:07.975","Sentence-prediction[1]-selected","i","669,218","","N","13","0","1","i don't have to remember what is stored or where it is stored","","",""
"2020/01/02 13:23:07.990","output-updated","or exactly what i ","","","","0","0","0","","","",""
"2020/01/02 13:23:08.120","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:08.168","sentence-prediction[1]-updated","don't have to remember what is stored or where it is stored","","250,410","N","12","0","0","and it is like magic because i don't have to remember what is stored or where it is stored","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:08.181","sentence-prediction[2]-updated","can demonstrate how i can get either words or sentences that i have used before","","290,623","N","15","0","0","but i can demonstrate how i can get either words or sentences that i have used before","","","location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
"2020/01/02 13:23:08.195","sentence-prediction[3]-updated","will type next","","110,195","N","3","0","0","and i am not planning what i will type next","","person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
"2020/01/02 13:23:08.195","sentence-prediction[4]-updated","love is the way it predicts out of the blue","","790,345","N","10","0","0","what i love is the way it predicts out of the blue","","Unknown, person1, person5, person4, person3, person7, person2, person6, person8","lovation7, location5, lcoation1, location6, location4, location2, location8, location3"
"2020/01/02 13:23:08.219","word-prediction[1]-updated","was","","110,130","","0","0","0","","","",""
"2020/01/02 13:23:08.231","word-prediction[2]-updated","needed","","560,558","","0","0","0","","","",""
"2020/01/02 13:23:08.242","word-prediction[3]-updated","did","","250,345","","0","0","0","","","",""
"2020/01/02 13:23:08.242","word-prediction[4]-updated","thought","","380,130","","0","0","0","","","",""
"2020/01/02 13:23:09.936","Letter-button-selected","h","571,506","520,475","","0","0","0","","","",""
"2020/01/02 13:23:09.952","output-updated","or exactly what i h","","","","0","0","0","","","",""
"2020/01/02 13:23:10.055","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:10.088","sentence-prediction[1]-updated","have to remember what is stored or where it is stored","","70,410","N","11","0","0","and it is like magic because i don't have to remember what is stored or where it is stored","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:10.102","sentence-prediction[2]-updated","her users were not necessarily literate","","200,195","N","6","0","0","exactly but her users were not necessarily literate","","person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
"2020/01/02 13:23:10.102","word-prediction[1]-updated","had","","70,345","","0","0","0","","","",""
"2020/01/02 13:23:10.127","word-prediction[2]-updated","heard","","200,130","","0","0","0","","","",""
"2020/01/02 13:23:10.139","word-prediction[3]-updated","hope","","740,130","","0","0","0","","","",""
"2020/01/02 13:23:10.152","word-prediction[4]-updated","hit","","650,130","","0","0","0","","","",""
"2020/01/02 13:23:11.508","Sentence-prediction[1]-selected","have","120,435.5","","N","11","0","1","have to remember what is stored or where it is stored","","",""
"2020/01/02 13:23:11.523","output-updated","or exactly what i have ","","","","0","0","0","","","",""
"2020/01/02 13:23:11.628","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:11.654","sentence-prediction[1]-updated","to remember what is stored or where it is stored","","380,195","N","10","0","0","and it is like magic because i don't have to remember what is stored or where it is stored","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:11.667","sentence-prediction[2]-updated","done is cracked the issue of users who seldom pick up the predictions","","250,410","N","13","0","0","i think what we have done is cracked the issue of users who seldom pick up the predictions","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:23:11.679","sentence-prediction[3]-updated","something to say.","","160,345","Y","3","0","0","i want a button to say i have something to say.","","","location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
"2020/01/02 13:23:11.679","sentence-prediction[4]-updated","put in four unsuccessful proposals in the past year","","830,130","N","9","0","0","i have put in four unsuccessful proposals in the past year","","person7, person6, person2, Unknown, person1, person5, person4, person3, person8","lovation7, location8, location6, lcoation1, location3, location4, location2, location5"
