Timestamp,Event,Content,Touchpoint,Location,PunctuationInSentece,NumberOfWords,NumberOfCharacters,SelectedButtonIndex,FullSentece,TimeSpan,IdentificationTags,LocationTags
35:22.4,sentence-prediction[2]-updated,try it out for real,,"380,195",N,5,0,0,lets hope it works tomorrow when rolf and i try it out for real,,"person7, person5, Unknown, person2, person3, person6, person1, person4, person8","location8, location2, lovation7, location5, location4, location3, lcoation1, location6"
35:22.5,sentence-prediction[3]-updated,keep on being amazed at how good the predictions are when using this system,,"700,345",N,14,0,0,i keep on being amazed at how good the predictions are when using this system,,"person2, person4, Unknown, person1, person6, person3, person7, person5, person8","lcoation1, location5, location6, location3, location8, lovation7, location2, location4"
35:22.5,sentence-prediction[4]-updated,usually miss predictions when using other systems,,"560,130",N,7,0,0,but i usually miss predictions when using other systems,,"person4, person6, person1, person7, person5, person2, Unknown, person3, person8","location4, lovation7, location6, lcoation1, location3, location8, location5, location2"
35:22.5,sentence-prediction[5]-updated,want it,,"110,195",N,2,0,0,because i think it has been amazing how it predicts both words and sentences when i want it,,"person2, person1, person7, person4, person5, Unknown, person6, person3, person8","location6, lovation7, location2, location4, location5, location8, lcoation1, location3"
35:22.5,word-prediction[1]-updated,was,,"110,130",,0,0,0,,,,
35:22.5,word-prediction[2]-updated,get,,"430,345",,0,0,0,,,,
35:22.5,word-prediction[3]-updated,saw,,"160,345",,0,0,0,,,,
35:22.5,word-prediction[4]-updated,first,,"340,345",,0,0,0,,,,
35:25.2,Letter-button-selected,a,"107,504","70,475",,0,0,0,,,,
35:25.3,output-updated,rolf keeps on speaking when i a,,,,0,0,0,,,,
35:25.3,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
35:25.4,sentence-prediction[1]-updated,am going to use this system to type as much as i am able.,,"650,623",Y,14,0,0,from now on i am going to use this system to type as much as i am able.,,"person2, person4, person1, person3, person5, person7, Unknown, person6","lovation7, location2, location8, location5, lcoation1, location6, location4, location3"
35:25.4,sentence-prediction[2]-updated,and i try it out for real,,"560,558",N,7,0,0,lets hope it works tomorrow when rolf and i try it out for real,,"person7, person5, Unknown, person2, person3, person6, person1, person4, person8","location8, location2, lovation7, location5, location4, location3, lcoation1, location6"
35:25.4,sentence-prediction[3]-updated,at about eight words a minute does not encourage conversation,,"380,195",N,10,0,0,speaking at about eight words a minute does not encourage conversation,,"unknown, Rolf, Chris, Haocheng, Annalu","movie_theater_indoor, airplane_cabin, discotheque, bus_interior, elevator_shaft, stage_indoor, cockpit, bar, music_studio, aquarium, escalator_indoor, shower, bathroom, locker_room, car_interior, science_museum, natural_history_museum, engine_room, desert_vegetation, berth, staircase, wind_farm, art_gallery, boat_deck, attic, alcove, reception, clothing_store, dressing_room, shoe_shop, recreation_room, physics_laboratory, repair_shop, lecture_room, classroom, chemistry_lab, office, bowling_alley, office_cubicles, kitchen, television_studio, home_theater, conference_room, hospital_room, television_room, beauty_salon, veterinarians_office, operating_room, laundromat, utility_room, boxing_ring, hangar_outdoor, hangar_indoor, gymnasium_indoor, clean_room, army_base, elevator_lobby, corridor, elevator_door, server_room, orchestra_pit, train_interior, bank_vault, stage_outdoor, alley, arena_performance"
