File Count,File Name,Timestamp,Event,Utterance,selected,missed,selected / missed,WP or SP?,Word Count,Character Count,Total Character Count,Time (mins),Time (secs),Words per minute,Characters per Second,Derived Time (sec),Derived Time (mins),Predicted Words Used,No. of Predicted Words Used,Predicted Sentences Used,No. of Words Used in Predicted Sentences,No. of Predicted Sentences Used,Actual Keys pressed,Actual Keystrokes,Actual Keystroke Savings,Keys pressed if user used predictions the first time they appeared,Min. keys user has to press if system could predict all current words and next words/phrases in the lexicon (at each moment) ASAP and user uses all those predictions the first time they appear,Keystrokes,Keystrokes Saved,Words in the lexicon (WP),Theoretical min character (WP),Words in the lexicon (SP),Theoretical min character (Word SP),Phrases in the lexicon (SP),Theoretical min character (Phrase SP),Keystrokes involved in selecting predictions,Total min. char (including TTS button),Keystrokes saved (lexicon)
1,02012020-132021.csv,13:21:17.842000,sentence-prediction[4]-updated,are you folk doing,0,0,-,-,4,18,18,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,17
1,02012020-132021.csv,13:21:17.842000,sentence-prediction[5]-updated,we are placing predictions?,0,0,-,-,4,27,27,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,26
1,02012020-132021.csv,13:21:17.858000,word-prediction[1]-updated,to,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:17.858000,word-prediction[2]-updated,many,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
1,02012020-132021.csv,13:21:17.875000,word-prediction[3]-updated,do,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:17.875000,word-prediction[4]-updated,it,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:20.461000,Sentence-prediction[4]-selected,are,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:20.461000,output-updated,hello how are ,0,0,-,-,3,14,14,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,13
1,02012020-132021.csv,13:21:20.599000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
1,02012020-132021.csv,13:21:20.630000,sentence-prediction[1]-updated,you folk doing,0,0,-,-,3,14,14,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,13
1,02012020-132021.csv,13:21:20.646000,sentence-prediction[2]-updated,placing predictions above the letter you are aiming for,0,0,-,-,9,55,55,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,54
1,02012020-132021.csv,13:21:20.659000,sentence-prediction[3]-updated,very proud of how our system can be used to enter text very quickly and with ease,0,0,-,-,17,81,81,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,80
1,02012020-132021.csv,13:21:20.674000,sentence-prediction[4]-updated,all very boring people,0,0,-,-,4,22,22,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,21
1,02012020-132021.csv,13:21:20.674000,sentence-prediction[5]-updated,right.,0,0,-,-,1,6,6,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,5
1,02012020-132021.csv,13:21:20.688000,word-prediction[1]-updated,u,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
1,02012020-132021.csv,13:21:20.698000,word-prediction[2]-updated,things,0,0,-,-,1,6,6,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,5
1,02012020-132021.csv,13:21:20.698000,word-prediction[3]-updated,we,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:20.713000,word-prediction[4]-updated,my,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:22.594000,Sentence-prediction[1]-selected,you,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:22.600000,output-updated,hello how are you ,0,0,-,-,4,18,18,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,17
1,02012020-132021.csv,13:21:22.697000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
1,02012020-132021.csv,13:21:22.713000,sentence-prediction[1]-updated,notice how we are placing predictions?,0,0,-,-,6,38,38,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,37
1,02012020-132021.csv,13:21:22.730000,sentence-prediction[2]-updated,folk doing,0,0,-,-,2,10,10,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,9
1,02012020-132021.csv,13:21:22.730000,sentence-prediction[3]-updated,can't remember how you said something before,0,0,-,-,7,44,44,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,43
1,02012020-132021.csv,13:21:22.747000,sentence-prediction[4]-updated,would be,0,0,-,-,2,8,8,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,7
1,02012020-132021.csv,13:21:22.757000,sentence-prediction[5]-updated,are right.,0,0,-,-,2,10,10,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,9
1,02012020-132021.csv,13:21:22.757000,word-prediction[1]-updated,today,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
1,02012020-132021.csv,13:21:22.757000,word-prediction[2]-updated,feeling,0,0,-,-,1,7,7,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,6
1,02012020-132021.csv,13:21:22.780000,word-prediction[3]-updated,celebrating,0,0,-,-,1,11,11,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,10
1,02012020-132021.csv,13:21:22.780000,word-prediction[4]-updated,all,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:23.916000,Punctuation-button-selected,?,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
1,02012020-132021.csv,13:21:23.916000,output-updated,hello how are you? ,0,0,-,-,4,19,19,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,18
1,02012020-132021.csv,13:21:23.945000,words-per-minute-value_word_count,22.82,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
1,02012020-132021.csv,13:21:23.945000,words-per-minute-value_character_count,19.4,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
1,02012020-132021.csv,13:21:24.064000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
1,02012020-132021.csv,13:21:24.074000,sentence-prediction[1]-updated,hello alex,0,0,-,-,2,10,10,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,9
1,02012020-132021.csv,13:21:24.090000,sentence-prediction[2]-updated,exactly,0,0,-,-,1,7,7,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,6
1,02012020-132021.csv,13:21:24.090000,sentence-prediction[3]-updated,hello everyone,0,0,-,-,2,14,14,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,13
1,02012020-132021.csv,13:21:24.104000,sentence-prediction[4]-updated,the voice,0,0,-,-,2,9,9,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,8
